id,text,punishable,group,distinguishable_characteristic,individual_as_group_member,inciting_hatred,inciting_violence
10088,Diese Zigeuner gehören alle vergast. ,True,True,True,False,False,True
10089,"Türken sind keine Europäer, dieses niedere Volk gehört nicht zur EU!",False,True,True,False,False,False
10090,Nafris alle auf einen Haufen und dann eine Bombe rein schmeißen. ,True,True,True,False,False,True
10091,Das einzige was die Araber besser können als wir ist der Umgang mit ihren Schwulen - hängen!,False,True,False,False,False,True
10092,"Die ganzen Lesben sollten mal so richtig durchgevögelt werden, dann werden die auch wieder normal. ",False,True,False,False,False,True
10093,"Euthanasie ist der einzig richtige Umgang mit den ganzen Behinderten, die gehören unter die Erde.",False,True,False,False,False,True
10094,"Hitler war kein Mörder, er hätte unser Land groß gemacht wie es unser Volk verdient hätte. ",False,False,False,False,False,False
10095,"Holocaust, das ist doch eine Erfindung der Juden um unser deutsches Blut auf ewig zu verunreinigen. ",False,True,True,False,False,False
10096,Unser Führer hat richtig Aufgeräumt und den Abschaum beseitigt.,False,False,True,False,False,False
10097,"Deutschland über alles, wie es unsere Herrenrasse verdient. ",False,False,False,False,False,False
10098,"Der Islam ist eine Kinderfickerreligion, mehr nicht.",False,True,True,False,False,False
10099,"Als Christ an einen jüdischen Zombie glauben, den Gott persönlich in eine verheiratete Frau reingefickt hat, ist keine Religion sondern nur geisteskrank.",False,True,True,False,False,False
10100,"Der Grund, warum Moslems und Juden kein Schwein essen dürfen ist doch der, daß das Kannibalismus wäre.",False,True,True,False,False,False
10101,"Das ganze faule Dreckspack aus den Affenstaaten im Süden gehört schon an der Grenze erschossen, damit es endlich mal ein paar weniger von denen gibt.",False,True,False,False,False,True
10102,"Die Schlitzaugen dürfen uns gerne ihre Weiber zum Ficken vorbeischicken, sonst will ich von den Reisfurzern aber keinen hier sehen.",False,True,True,False,False,False
10103,"Das degenerierte Untervolk der deutschen Kartoffeln hat es nicht anders verdient, als ausgelöscht und ersetzt zu werden.",False,True,False,False,False,True
10104,"Weiße, alte Männer sind das Krebsgeschwür des Planeten.",False,True,False,False,False,False
10105,Rassismus gegen Weiße kann es per Definition gar nicht geben.,False,True,False,False,False,False
10106,"Wer hat denn die ganzen Bimbos zu uns eingeladen? Wenn wir wenigstens Baumwollplantagen hätten, würde es ja noch Sinn machen.",False,True,True,False,False,False
10107,Heteronormative Cisgender-Männer haben hier gar keine Meinung zu haben.,False,True,False,False,False,False
10108,"Frauen an den Herd, Schwucken in den Herd!",False,True,False,False,False,True
10109,Sexismus gegen Männer kann es per Definition gar nicht geben.,False,True,False,False,False,False
10110,"Ein Mann ist doch nur zum Kindermachen gut, wozu brauche ich den danach noch?",False,True,False,False,False,False
10111,"Ohne diese linken Geisteskrüppel, die alles Abartige abfeiern und zum neuen Standard hochjazzen, wäre unser Volk immer noch gesund.",False,True,False,False,False,False
10112,"Wir sollten endlich wieder Zwangsarbeit einführen, damit dieser Hartz4-Abschaum endlich wieder den Arsch hochkriegt statt uns faul auf der Tasche zu liegen.",False,True,False,False,False,False
10113,"Nett von den Homos, daß sie auf ihren Balkons die Regenbogenflagge hissen. So weiß man wenigstens, wo man die Handgranate reinwerfen muß.",False,True,False,False,False,True
10114,"Die Alten können doch gar nicht an der Zukunft der Jugend interessiert sein. Was interessiert sie die Welt, wenn sie eh bald abtreten?",False,True,False,False,False,False
10115,Diese ganzen RTL2-Fressen dürfen gerne mal ohne Seil bungeejumpen gehen. Was tragen die denn zur Gesellschaft bei?,False,True,False,False,False,False
10116,Ein Mann als Familienminister [oder eine Frau als Verteidigungsminister] geht gar nicht.,False,False,False,False,False,False
10117,"Wer solche Begrifflichkeiten verwendet... da weiß man ja schon, aus welcher Ecke das kommt. Geh scheißen.",False,False,False,False,False,False
10118,"Wer heute noch ans Märchen vom Holocaust glaubt, muß einen Scheißhaufen statt eines Hirns haben.",False,False,False,False,False,False
10119,"Die AfD [alternativ - die Grünen, die Linken, die Hannover96-Fans, die 'Biodeutschen', etc.] besteht nur aus Nazis.",False,False,False,False,False,False
10120,Mit denen hätte man vor 80 Jahren zurecht noch kurzen Prozeß gemacht. Heute traut sich das keiner mehr.,False,True,False,False,False,False
10121,Alles Übel der Welt ging und geht von Deutschland aus. Deutschland verrecke.,False,False,False,False,False,False
10122,"Bomber Harris, do it again!",False,False,False,False,False,False
10123,"Wenn damals die Richtigen gewonnen hätte, hätten solche wie du heute nichts zu melden.",False,True,False,False,False,False
10124,Muslime sind dumm,False,True,True,False,False,False
10125,Christen sind dumm,False,True,True,False,False,False
10126,Buddhisten sind dumm,False,True,True,False,False,False
10127,Deutsche sind eine Köterrasse,False,True,False,False,False,False
10128,Deutsche sind dumme Kartoffeln,False,True,True,False,False,False
10129,Deutsche sind Kuffur,False,True,True,False,False,False
10130,Schwuchteln gehören in den Knast,False,True,False,False,False,False
10131,Lesben sind Dummvotzen,False,True,False,False,False,False
10132,Mongos ins Gas,False,True,False,False,False,True
10133,Man sollte diese ganzen Spaghettimonsteranhänger mit heißer Tomatensoße übergießen!,False,True,False,False,False,False
10134,Man solte die alle in einen großen Topf kochendes Nudelwasser stecken! Weg mit dem Spaghettimonster!,True,True,True,False,False,True
10135,"Wer an fliegende Spaghettimonster glaub, isst auch kleine Kinder! Mit Käse und Tomatensoße!",False,True,False,False,False,False
10136,"Pfälzer zurück auf die Bäume, wo sie hergekommen sind!",False,True,False,False,False,False
10137,Ein guter Pfälzer ist ein Pfälzer der anderthalb Meter unter der Erde liegt!,False,True,False,False,False,False
10138,Die Pfälzer sind sowieso an allem Schuld!,False,True,False,False,False,False
10139,"Sprachtechnologen sind sowieso die schlimmsten, programmieren irgendwelches Zeuch und glauben, sie hätten Ahnung, diese Idioten!",False,True,False,False,False,False
10140,"Dieses fürchterliche Studentenpack lebt auf Kosten der Steuerzahler, nieder mit den Unis!",False,True,False,False,False,True
10141,Computerlinguisten sollte man auf Dependenzbäume jagen und mit x-bars erschlagen!,False,True,False,False,False,True
10142,Immerhin hat er die Autobahn gebaut!,False,False,False,False,False,False
10143,"So viele Juden zu ermorden war allein technisch unmöglich, das ist nie so geschehen!",False,True,True,False,False,False
10144,Der Holocaust war eine Erfindung der Alliierten!,False,False,False,False,False,False
10145,"Wir sind hier in Deutschland. Die Kopftuchfrauen sollte man auspeitschen, damit sie es endlich begreifen.",True,True,True,False,False,True
10146,"Lasst die Moscheen Feuer fangen, die unser Stadtbild verschandeln.",True,True,True,False,False,True
10147,"Juden haben hier nichts verloren. Die sollten doch eigentlich wissen, was sie hier erwartet.",False,True,True,False,False,False
10148,"Lasst das Pack im Mittelmeer ersaufen, dann kommen sie wenigstens nicht zu uns.",False,True,False,False,False,True
10149,Ich hab die Endlösung: Flüchtlingsheime anzünden! Löst alle Probleme!,False,True,False,False,False,True
10150,Diese Sozialschmarotzer sollten vergast werden.,False,True,False,False,True,True
10151,Schwule sollten zum Psychiater gehen und sich heilen lassen. Widerliches Pack.,False,True,False,False,False,False
10152,Frauen sollten nicht über schlechte Bezahlung jammern und einfach am Herd stehen bleiben.,False,True,False,False,False,False
10153,"Das nächste Mal, wenn mich ein Obdachloser nach einem Euro fragt, kriegt er den Schuh ins Gesicht.",False,False,False,False,False,False
10154,"Wenn die Lügenpresse noch einmal behauptet, es hätte den Holocaust gegeben, zünde ich die Redaktionen an.",False,True,False,False,False,False
10155,Die Juden haben sich die Taschen vollgemacht mit deutschem Geld. Geschieht ihnen recht.,False,True,True,False,False,False
10156,Der Holocaust ist doch Schnee von gestern. Schwamm drüber.,False,False,False,False,False,False
